ST,ORI,GRP,DIV,YEAR,MSA,CD1,CD2,CD3,ADJD,OFF,M3,M4,M5,M6,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M24,F3,F4,F5,F6,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F24,AW,AB,AI,AO1,AH,AN
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",020,0,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",030,0,2,0,0,1,3,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,9,7,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",040,0,0,0,0,1,0,0,2,4,2,0,5,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,15,17,1,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",050,4,0,13,19,9,6,4,4,4,1,7,12,4,1,7,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,6,4,0,0,0,0,66,53,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",060,1,1,3,7,2,11,11,9,17,3,3,10,22,7,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,72,47,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",080,0,0,3,8,11,7,6,8,10,6,9,18,23,22,10,5,12,0,0,0,1,2,1,0,0,3,0,0,0,1,0,1,1,1,3,0,104,68,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",100,0,0,0,0,0,4,0,0,0,4,0,7,10,2,4,5,5,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,21,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",110,0,0,0,0,0,3,1,0,2,1,1,13,36,24,9,0,4,0,0,0,0,7,0,0,0,0,0,0,1,3,3,2,0,1,0,0,104,7,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",130,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0
Alabama,AL00200,9B,East South Central,1960,547,No Adult Male Reported,No Adult Female Reported,No Juvenile Reported,"Age, Race Reported",150,0,0,0,1,1,2,0,1,2,2,1,4,4,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,16,0,0,0,0
